,date,account_type,supplier_terminal_name,product_name,"('base_gallons', 'Daily')","('base_gallons', 'Weekly')","('lifted_gallons', 'Daily')","('lifted_gallons', 'Weekly')","('beginning_gallons', 'Daily')","('beginning_gallons', 'Weekly')","('en_allocation_status', 'Daily')","('en_allocation_status', 'Weekly')","('percentage_allocation', 'Daily')","('percentage_allocation', 'Weekly')","('next_refresh_date', 'Daily')","('next_refresh_date', 'Weekly')",id
2015-06-01,1970-01-01 00:00:00,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
2015-06-02,2015-06-02 00:00:00,Channel: 50 - Commercial,CANTON OH - BUCKEYE (PLANT 9180),PREMIUM,,7305,,8103,,8036.0,,Available,,110%,,06/03 00:00:00 EDT,1
2015-06-03,2015-06-03 00:00:00,Channel: 50 - Commercial,CANTON OH - BUCKEYE (PLANT 9180),PREMIUM,,7305,,3400,,,,Unknown,,110,,06/10 00:00:00 EDT,24
2015-06-04,2015-06-04 00:00:00,Channel: 50 - Commercial,CANTON OH - BUCKEYE (PLANT 9180),PREMIUM,,7305,,5601,,,,Unknown,,110,,06/10 00:00:00 EDT,47
2015-06-05,2015-06-05 00:00:00,Channel: 50 - Commercial,CANTON OH - BUCKEYE (PLANT 9180),PREMIUM,,7305,,8601,,,,Unknown,,110,,06/10 00:00:00 EDT,67
2015-06-06,1970-01-01 00:00:00,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
2015-06-07,1970-01-01 00:00:00,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
2015-06-08,2015-06-08 00:00:00,Channel: 50 - Commercial,CANTON OH - BUCKEYE (PLANT 9180),PREMIUM,,7305,,15607,,,,Unknown,,110,,06/10 00:00:00 EDT,87
2015-06-09,2015-06-09 00:00:00,Channel: 50 - Commercial,CANTON OH - BUCKEYE (PLANT 9180),PREMIUM,,7305,,15607,,,,Unknown,,110,,06/10 00:00:00 EDT,110
2015-06-10,2015-06-10 00:00:00,Channel: 50 - Commercial,CANTON OH - BUCKEYE (PLANT 9180),PREMIUM,,7305,,0,,8036.0,,Available,,110%,,06/17 00:00:00 EDT,132
2015-06-11,2015-06-11 00:00:00,Channel: 50 - Commercial,CANTON OH - BUCKEYE (PLANT 9180),PREMIUM,,7305,,2504,,8036.0,,Available,,110%,,06/17 00:00:00 EDT,154
2015-06-12,1970-01-01 00:00:00,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
2015-06-13,2015-06-13 00:00:00,Channel: 50 - Commercial,CANTON OH - BUCKEYE (PLANT 9180),PREMIUM,,7305,,7210,,8036.0,,Available,,110%,,06/17 00:00:00 EDT,176
2015-06-14,2015-06-14 00:00:00,Channel: 50 - Commercial,CANTON OH - BUCKEYE (PLANT 9180),PREMIUM,,7305,,8412,,8036.0,,Available,,110%,,06/17 00:00:00 EDT,199
2015-06-15,2015-06-15 00:00:00,Channel: 50 - Commercial,CANTON OH - BUCKEYE (PLANT 9180),PREMIUM,,7305,,9612,,8036.0,,Available,,110%,,06/17 00:00:00 EDT,222
2015-06-16,2015-06-16 00:00:00,Channel: 50 - Commercial,CANTON OH - BUCKEYE (PLANT 9180),PREMIUM,,7305,,10814,,8036.0,,Available,,110%,,06/17 00:00:00 EDT,241
2015-06-17,2015-06-17 00:00:00,Channel: 50 - Commercial,CANTON OH - BUCKEYE (PLANT 9180),PREMIUM,,7305,,2401,,8036.0,,Available,,110%,,06/24 00:00:00 EDT,262
2015-06-18,2015-06-18 00:00:00,Channel: 50 - Commercial,CANTON OH - BUCKEYE (PLANT 9180),PREMIUM,,7305,,3603,,8036.0,,Available,,110%,,06/24 00:00:00 EDT,283
2015-06-19,2015-06-19 00:00:00,Channel: 50 - Commercial,CANTON OH - BUCKEYE (PLANT 9180),PREMIUM,,7305,,7203,,8036.0,,Available,,110%,,06/24 00:00:00 EDT,304
2015-06-20,2015-06-20 00:00:00,Channel: 50 - Commercial,CANTON OH - BUCKEYE (PLANT 9180),PREMIUM,,7305,,8402,,8036.0,,Out,,110%,,06/24 00:00:00 EDT,325
2015-06-21,2015-06-21 00:00:00,Channel: 50 - Commercial,CANTON OH - BUCKEYE (PLANT 9180),PREMIUM,,7305,,8402,,8036.0,,Out,,110%,,06/24 00:00:00 EDT,349
2015-06-22,2015-06-22 00:00:00,Channel: 50 - Commercial,CANTON OH - BUCKEYE (PLANT 9180),PREMIUM,,7305,,9607,,8036.0,,Available,,110%,,06/24 00:00:00 EDT,373
2015-06-23,2015-06-23 00:00:00,Channel: 50 - Commercial,CANTON OH - BUCKEYE (PLANT 9180),PREMIUM,,7305,,9607,,8036.0,,Available,,110%,,06/24 00:00:00 EDT,393
2015-06-24,2015-06-24 00:00:00,Channel: 50 - Commercial,CANTON OH - BUCKEYE (PLANT 9180),PREMIUM,,7305,,0,,8036.0,,Available,,110%,,07/01 00:00:00 EDT,413
2015-06-25,2015-06-25 00:00:00,Channel: 50 - Commercial,CANTON OH - BUCKEYE (PLANT 9180),PREMIUM,,7305,,0,,8036.0,,Available,,110%,,07/01 00:00:00 EDT,433
2015-06-26,2015-06-26 00:00:00,Channel: 50 - Commercial,CANTON OH - BUCKEYE (PLANT 9180),PREMIUM,,7305,,1204,,8036.0,,Available,,110%,,07/01 00:00:00 EDT,454
2015-06-27,2015-06-27 00:00:00,Channel: 50 - Commercial,CANTON OH - BUCKEYE (PLANT 9180),PREMIUM,,7305,,5709,,8036.0,,Available,,110%,,07/01 00:00:00 EDT,475
2015-06-28,2015-06-28 00:00:00,Channel: 50 - Commercial,CANTON OH - BUCKEYE (PLANT 9180),PREMIUM,,7305,,5709,,8036.0,,Available,,110%,,07/01 00:00:00 EDT,496
2015-06-29,2015-06-29 00:00:00,Channel: 50 - Commercial,CANTON OH - BUCKEYE (PLANT 9180),PREMIUM,,7305,,6810,,8036.0,,Available,,110%,,07/01 00:00:00 EDT,520
2015-06-30,2015-06-30 00:00:00,Channel: 50 - Commercial,CANTON OH - BUCKEYE (PLANT 9180),PREMIUM,,7305,,9114,,8036.0,,Available,,110%,,07/01 00:00:00 EDT,544
